;北京;成都;广州;杭州;上海;深圳;武汉;重庆;南京;厦门;西安;长沙;佛山;青岛;沈阳;苏州;天津;郑州;大连;福州;昆明;宁波;DIY;DIY手作;茶会雅集;电影;户外活动;讲座沙龙;派对聚会;沙龙学堂;体验课;文艺生活;戏剧;小型现场livehouse;运动健身;暂不开放;展览;酒吧;商业;市集;音乐会
DIY;34;4;12;10;7;7;4;27;16;;4;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;
DIY手作;217;76;107;92;147;80;18;;;8;22;8;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;
茶会雅集;22;6;;6;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
电影;10;;19;12;11;4;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
户外活动;283;98;126;130;129;115;;8;;14;5;;5;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
讲座沙龙;52;15;10;4;9;11;;5;25;;5;;4;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
派对聚会;385;154;151;212;272;141;19;46;4;7;21;;;13;10;8;12;8;9;;;4;;;;;;;;;;;;;;;;;;;
沙龙学堂;101;35;40;22;76;39;7;10;;;4;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
体验课;51;14;10;16;20;14;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
文艺生活;192;82;79;58;143;119;24;14;;15;11;5;;;4;;6;;;;;;;;;;;;;;;;;;;;;;;;
戏剧;29;7;;13;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
小型现场livehouse;13;;;;;;;;13;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;
运动健身;78;48;48;98;62;65;12;4;8;4;6;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
暂不开放;52;19;12;22;33;18;10;6;;;4;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;
展览;4;;;;5;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
酒吧;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
商业;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
市集;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
音乐会;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
北京;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
成都;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
广州;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
杭州;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
上海;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
深圳;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
武汉;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
重庆;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
南京;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
厦门;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
西安;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
长沙;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
佛山;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
青岛;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
沈阳;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
苏州;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
天津;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
郑州;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
大连;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
福州;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
昆明;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
宁波;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
